source,target,type,url
IPSOTEK,MILESTONE,fonctionne avec,https://www.milestonesys.com/technology-partner-finder/ipsotek-an-eviden-business/ipsotek-visuite-ai-video-analytics/
IPSOTEK,VSA,fonctionnalité,https://www.milestonesys.com/technology-partner-finder/ipsotek-an-eviden-business/ipsotek-visuite-ai-video-analytics/
ISS PARTNERS,AN2V,est membre,https://an2v.org/membres/
JF SULZER CONSEIL,AN2V,est membre,https://an2v.org/membres/
JOHN COCKERILL DEFENSE,AN2V,est membre,https://an2v.org/membres/
JOHN COCKERILL DEFENSE,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722
JUST DO IP,AN2V,est membre,https://an2v.org/membres/
LA ROBE NUMERIQUE,AN2V,est membre,https://an2v.org/membres/
LILATECH,AN2V,est membre,https://an2v.org/membres/
LM INGENIERIE,AN2V,est membre,https://an2v.org/membres/
LOGIROAD,UGAP,est fourni par,https://www.ugap.fr/logiroad-f17530
LOOPGRADE,AN2V,est membre,https://an2v.org/membres/
LOSANGE,AN2V,est membre,https://an2v.org/membres/
